title,author,tags
One of the most sincere forms of respect is actually listening to what another has to say.,Bryant H. McGill,"Listening, Sincere, Say"
"Respect for ourselves guides our morals, respect for others guides our manners.",Laurence Sterne,"Manners, Others, Morals"
"We don't need to share the same opinions as others, but we need to be respectful.",Taylor Swift,"Others, Opinions, Need"
"To free us from the expectations of others, to give us back to ourselves - there lies the great, singular power of self-respect.",Joan Didion,"Power, Great, Expectations"
"Respect your efforts, respect yourself. Self-respect leads to self-discipline. When you have both firmly under your belt, that's real power.",Clint Eastwood,"Power, Your, Yourself"
"I firmly believe that respect is a lot more important, and a lot greater, than popularity.",Julius Erving,"Believe, Important, More"
"Everyone in society should be a role model, not only for their own self-respect, but for respect from others.",Barry Bonds,"Society, Own, Self-Respect"
"A person's a person, no matter how small.",Dr. Seuss,"Matter, Person, Small"
There is no respect for others without humility in one's self.,Henri Frederic Amiel,"Humility, Others, Self"
"To the living we owe respect, but to the dead we owe only the truth.",Voltaire,"Truth, Living, Dead"
"There exist only three beings worthy of respect: the priest, the soldier, the poet. To know, to kill, to create.",Charles Baudelaire,"Know, Create, Soldier"
I'm not concerned with your liking or disliking me... All I ask is that you respect me as a human being.,Jackie Robinson,"Your, Me, Human"
"Be modest, be respectful of others, try to understand.",Lakhdar Brahimi,"Try, Understand, Others"
"This world of ours... must avoid becoming a community of dreadful fear and hate, and be, instead, a proud confederation of mutual trust and respect.",Dwight D. Eisenhower,"Trust, Fear, Hate"
Self-respect is the fruit of discipline; the sense of dignity grows with the ability to say no to oneself.,Abraham Joshua Heschel,"Fruit, Discipline, Dignity"
"I think a lot of people have lost respect for the individual, you know, the individual, the person who doesn't conform.",Erykah Badu,"Lost, Know, People"
The final test of a gentleman is his respect for those who can be of no possible service to him.,William Lyon Phelps,"Service, Gentleman, Possible"
"Respect is what we owe; love, what we give.",Philip James Bailey,"Love, Owe, Give"
"To be one, to be united is a great thing. But to respect the right to be different is maybe even greater.",Bono,"Great, Be Different, Right"
I never make the mistake of arguing with people for whose opinions I have no respect.,Edward Gibbon,"Mistake, People, Never"
Nothing is more despicable than respect based on fear.,Albert Camus,"Fear, Nothing, More"
Perhaps the surest test of an individual's integrity is his refusal to do or say anything that would damage his self-respect.,Thomas S. Monson,"Integrity, Self-Respect, Test"
"Our moral, religious, and political traditions are united in their respect for the dignity of human life.",Robert Casey,"Life, Political, Dignity"
"If we are not free, no one will respect us.",A. P. J. Abdul Kalam,"Free, Will, Us"
Respect yourself if you would have others respect you.,Baltasar Gracian,"Yourself, Others, Would"
"We should all consider each other as human beings, and we should respect each other.",Malala Yousafzai,"Human, Should, Consider"
It's not that the Irish are cynical. It's rather that they have a wonderful lack of respect for everything and everybody.,Brendan Behan,"Everything, Wonderful, Cynical"
I'm sick of just liking people. I wish to God I could meet somebody I could respect.,J. D. Salinger,"God, People, Wish"
It is so important to get respect for what you do and at the same time give it.,Estelle Parsons,"Time, Important, Same"
"I'm not everybody's cup of tea. But sometimes criticism can be hurtful. Be respectful. I'm a good piano player, I can sing well, I write good songs. If you don't like it, fair enough. But give me a break.",Elton John,"Good, Tea, Me"
"As all human beings are, in my view, creatures of God's design, we must respect all other human beings. That does not mean I have to agree with their choices or agree with their opinions, but indeed I respect them as human beings.",Stockwell Day,"Design, God, View"
"When you are content to be simply yourself and don't compare or compete, everybody will respect you.",Lao Tzu,"Yourself, Will, Content"
"Show respect to all people, but grovel to none.",Tecumseh,"People, Show, None"
"That you may retain your self-respect, it is better to displease the people by doing what you know is right, than to temporarily please them by doing what you know is wrong.",William J. H. Boetcker,"Your, Better, Doing"
I always respect a woman.,Enrique Iglesias,"Always, Woman"
I think I'm a natural-born leader. I know how to bow down to authority if it's authority that I respect.,Tupac Shakur,"Know, Down, Authority"
"I owe my success to having listened respectfully to the very best advice, and then going away and doing the exact opposite.",Gilbert K. Chesterton,"Success, Best, Advice"
"The person who comes up to you and makes the most noise and is the most intrusive is invariably the person in the room who has no respect for you at all, and it's really all about them.",Robbie Coltrane,"Person, Room, Noise"
Being brilliant is no great feat if you respect nothing.,Johann Wolfgang von Goethe,"Great, Nothing, Brilliant"
Never dress down for the poor. They won't respect you for it. They want their First Lady to look like a million dollars.,Imelda Marcos,"Dress, Look, Poor"
"I have no right, by anything I do or say, to demean a human being in his own eyes. What matters is not what I think of him; it is what he thinks of himself. To undermine a man's self-respect is a sin.",Antoine de Saint-Exupery,"Eyes, Man, Sin"
I have always believed that I should have had no difficulty in causing my rights to be respected.,Eli Whitney,"Always, Rights, Difficulty"
"Everyone should be respected as an individual, but no one idolized.",Albert Einstein,"Everyone, Individual, Should"
"Assuredly, Loving Souls, you should go to God with all humility and respect, humbling yourselves in His presence, especially when you remember your past ingratitude and sins.",Alphonsus Liguori,"God, Your, Humility"
"If once you forfeit the confidence of your fellow-citizens, you can never regain their respect and esteem.",Abraham Lincoln,"Your, Confidence, Never"
"Americans have been conditioned to respect newness, whatever it costs them.",John Updike,"Whatever, Costs, Them"
"As the mother of two daughters, I have great respect for women. And I don't ever want to lose that.",Vera Wang,"Women, Great, Lose"
Men are so willing to respect anything that bores them.,Marilyn Monroe,"Men, Anything, Willing"
When people do not respect us we are sharply offended; yet in his private heart no man much respects himself.,Mark Twain,"Heart, Man, People"
And the greatest lesson that mom ever taught me though was this one. She told me there would be times in your life when you have to choose between being loved and being respected. Now she said to always pick being respected.,Chris Christie,"Life, Mom, Always"
"But really, we also need to learn how to love one another as women. How to appreciate and respect each other.",Chaka Khan,"Love, Women, Appreciate"
"I have a respect for manners as such, they are a way of dealing with people you don't agree with or like.",Margaret Mead,"Manners, Way, People"
People want to hear what I have to say and respect what I say.,Jennifer Capriati,"People, Say, Hear"
"Go up close to your friend, but do not go over to him! We should also respect the enemy in our friend.",Friedrich Nietzsche,"Your, Enemy, Go"
Let every man be respected as an individual and no man idolized.,Albert Einstein,"Man, Every Man, Individual"
America wants its respect.,Tupac Shakur,"America, Wants"
"I have nothing against respecting people who lived before, but we have no responsibility toward them.",Leon Kass,"Responsibility, Nothing, People"
"In order to acquire a growing and lasting respect in society, it is a good thing, if you possess great talent, to give, early in your youth, a very hard kick to the right shin of the society that you love. After that, be a snob.",Salvador Dali,"Love, Good, Society"
"Be peaceful, be courteous, obey the law, respect everyone; but if someone puts his hand on you, send him to the cemetery.",Malcolm X,"Law, Everyone, Cemetery"
"I have great respect for the past. If you don't know where you've come from, you don't know where you're going. I have respect for the past, but I'm a person of the moment. I'm here, and I do my best to be completely centered at the place I'm at, then I go forward to the next place.",Maya Angelou,"Best, Great, Moment"
Just imagine how different the world could be if we all spoke to everyone with respect and kindness.,Holly Branson,"Kindness, World, Everyone"
"We all require and want respect, man or woman, black or white. It's our basic human right.",Aretha Franklin,"Man, Black, Woman"
"The bond that links your true family is not one of blood, but of respect and joy in each other's life.",Richard Bach,"Life, Family, Your"
I've been so lucky to work with such great people: people that are such hard workers and have such a respect and appreciation for one another.,Blake Lively,"Work, Great, Appreciation"
"We should respect all religions and just believe in peace, kindness and harmony.",Ananya Panday,"Peace, Kindness, Believe"
"Society as a whole benefits immeasurably from a climate in which all persons, regardless of race or gender, may have the opportunity to earn respect, responsibility, advancement and remuneration based on ability.",Sandra Day O'Connor,"Society, Opportunity, Responsibility"
We will not agree on every issue. But let us respect those differences and respect one another. Let us recognize that we do not serve an ideology or a political party; we serve the people.,John Lynch,"Political, Differences, Will"
A child who is allowed to be disrespectful to his parents will not have true respect for anyone.,Billy Graham,"Parenting, Parents, Will"
Speaking French is good for me and also a mark of respect for the PSG institution.,Thomas Tuchel,"Good, Me, Institution"
"I am a doctor - it's a profession that may be considered a special mission, a devotion. It calls for involvement, respect and willingness to help all other people.",Ewa Kopacz,"Doctor, I Am, People"
"I'm so lucky to have such a great family. I respect them so much professionally, and they've been unconditionally supportive in the choices that I've made. It's been very good having them on my side.",Jack Huston,"Family, Good, Great"
"Liberals are some of the most arrogant, condescending smart alecks, but they're just pure ignorant, and they fit the bill of people who have no love and no respect for the founding of this country.",Rush Limbaugh,"Love, Smart, Country"
"Once you figure out what respect tastes like, it tastes better than attention. But you have to get there.",Pink,"Better, Attention, Like"
"If we desire respect for the law, we must first make the law respectable.",Louis D. Brandeis,"Legal, Law, First"
Most good relationships are built on mutual trust and respect.,Mona Sutphen,"Good, Trust, Relationships"
"Be loyal to those who are loyal to you. And respect everyone, even your enemies and competition.",John Cena,"Your, Competition, Enemies"
I love making new friends and I respect people for a lot of different reasons.,Taylor Swift,"Love, New Friends, New"
"I guess at the end of the day, all women like to be appreciated and treated with respect and kindness.",Sofia Vergara,"Women, Kindness, Day"
"Literature adds to reality, it does not simply describe it. It enriches the necessary competencies that daily life requires and provides; and in this respect, it irrigates the deserts that our lives have already become.",C. S. Lewis,"Life, Daily, Reality"
"Climate change does not respect border; it does not respect who you are - rich and poor, small and big. Therefore, this is what we call 'global challenges,' which require global solidarity.",Ban Ki-moon,"Change, Challenges, Rich"
"Our deep respect for the land and its harvest is the legacy of generations of farmers who put food on our tables, preserved our landscape, and inspired us with a powerful work ethic.","James H. Douglas, Jr.","Work, Food, Legacy"
"My father used to have an expression. He'd say, 'Joey, a job is about a lot more than a paycheck. It's about your dignity. It's about respect. It's about your place in your community.'",Joe Biden,"Your, Community, Father"
I don't mind being older. I'm proud of my age. I've achieved a lot. It's the same thing with Mick and the Stones. They should be revered and respected. Isn't it strange that now we're living longer we have so much less respect for old age? Perhaps it's a less valuable commodity?,Jerry Hall,"Age, Mind, Old Age"
"Never respect men merely for their riches, but rather for their philanthropy; we do not value the sun for its height, but for its use.",Gamaliel Bailey,"Men, Value, Sun"
"You can have a certain arrogance, and I think that's fine, but what you should never lose is the respect for the others.",Steffi Graf,"Arrogance, Lose, Never"
