title,author,tags
I love you the more in that I believe you had liked me for my own sake and for nothing else.,John Keats,"Love, Believe, Me"
There is no charm equal to tenderness of heart.,Jane Austen,"Heart, Equal, Charm"
"A beautiful woman delights the eye; a wise woman, the understanding; a pure one, the soul.",Minna Antrim,"Beautiful, Wise, Beautiful Woman"
"We are each of us angels with only one wing, and we can only fly by embracing one another.",Luciano De Crescenzo,"Fly, Us, Only"
"O, thou art fairer than the evening air clad in the beauty of a thousand stars.",Christopher Marlowe,"Beauty, Art, Stars"
I love you - I am at rest with you - I have come home.,Dorothy L. Sayers,"Love, Home, Rest"
"Vulnerability is the essence of romance. It's the art of being uncalculated, the willingness to look foolish, the courage to say, 'This is me, and I'm interested in you enough to show you my flaws with the hope that you may embrace me for all that I am but, more important, all that I am not.'",Ashton Kutcher,"Courage, Hope, Art"
"Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.",Maya Angelou,"Love, Hope, Destination"
We only part to meet again.,John Gay,"Meet, Only, Again"
"Love planted a rose, and the world turned sweet.",Katharine Lee Bates,"Love, Sweet, World"
What is love? It is the morning and the evening star.,Sinclair Lewis,"Love, Morning, Evening"
Romance is the glamour which turns the dust of everyday life into a golden haze.,Carolyn Gold Heilbrun,"Life, Glamour, Golden"
"Heard melodies are sweet, but those unheard are sweeter.",John Keats,"Sweet, Sweeter, Heard"
All that we see or seem is but a dream within a dream.,Edgar Allan Poe,"Dream, See, Within"
Love is friendship set on fire.,Jeremy Taylor,"Friendship, Love, Love Is"
Kiss me and you will see how important I am.,Sylvia Plath,"I Am, Me, Will"
There is no instinct like that of the heart.,Lord Byron,"Heart, Like, Instinct"
True love stories never have endings.,Richard Bach,"Love, True Love, True"
Happy is the man whom the Muses love: sweet speech flows from his mouth.,Hesiod,"Love, Man, Sweet"
"If you are not too long, I will wait here for you all my life.",Oscar Wilde,"Life, Long, Wait"
"Today I begin to understand what love must be, if it exists... When we are parted, we each feel the lack of the other half of ourselves. We are incomplete like a book in two volumes of which the first has been lost. That is what I imagine love to be: incompleteness in absence.",Edmond de Goncourt,"Love, Today, Lost"
"When men attempt bold gestures, generally it's considered romantic. When women do it, it's often considered desperate or psycho.",Sarah Jessica Parker,"Women, Men, Psycho"
"I'm into all that sappy stuff - a surprise picnic, nice dinner, or traveling. I'm kind of an old romantic.",Will Estes,"Surprise, Dinner, Picnic"
"Beauty, sweet love, is like the morning dew, Whose short refresh upon tender green, Cheers for a time, but till the sun doth show And straight is gone, as it had never been.",Samuel Daniel,"Love, Beauty, Morning"
All the windows of my heart I open to the day.,John Greenleaf Whittier,"Heart, Day, Open"
There's something about the sound of a train that's very romantic and nostalgic and hopeful.,Paul Simon,"Sound, Train, Something"
"If you don't love me, it does not matter, anyway I can love for both of us.",Stendhal,"Love, Me, Matter"
In real love you want the other person's good. In romantic love you want the other person.,Margaret Anderson,"Love, Good, Person"
"It is really rare to find someone you really, really love and that you want to spend your life with and all that stuff that goes along with being married. I am one of those lucky people. And I think she feels that way too. So the romantic stuff is easy because you want them to be happy.","Harry Connick, Jr.","Life, Love, Your"
"Kisses, even to the air, are beautiful.",Drew Barrymore,"Beautiful, Air, Even"
I'm a hopeless romantic and I believe that you can find love in many different places and be very conflicted. I've discovered as I've grown up that life is far more complicated than you think it is when you're a kid. It isn't just a straightforward fairytale.,Rachel McAdams,"Life, Love, Believe"
All the beautiful sentiments in the world weigh less than a single lovely action.,James Russell Lowell,"Beautiful, World, Action"
And ever has it been known that love knows not its own depth until the hour of separation.,Khalil Gibran,"Love, Own, Separation"
"The curse of the romantic is a greed for dreams, an intensity of expectation that, in the end, diminishes the reality.",Marya Mannes,"Dreams, Reality, Greed"
The real lover is the man who can thrill you just by touching your head or smiling into your eyes - or just by staring into space.,Marilyn Monroe,"Space, Eyes, Man"
Middle age is when a guy keeps turning off lights for economical rather than romantic reasons.,Lillian Gordy Carter,"Age, Lights, Middle Age"
I'm still a bit of a romantic and an idealist and hopelessly naive.,Brit Marling,"Idealist, Naive, Still"
Everyone who knows me knows that I'm a hopeless romantic who listens to love ballads and doo-wop songs all the time.,Henry Rollins,"Love, Time, Me"
"There are two births: the one when light, First strikes the new awakened sense; The other when two souls unite, And we must count our life from thence, When you loved me and I loved you, Then both of us were born anew.",William Cartwright,"Life, Light, Me"
My dearly beloved if I am to die today and never see the sweet face of you I want you to know that I am no great man and am lucky to have such a woman as you.,Wild Bill Hickok,"Great, Today, Man"
"Remember, beneath every cynic there lies a romantic, and probably an injured one.",Glenn Beck,"Remember, Injured, Lies"
It is better to have loved and lost than never to have lost at all.,Samuel Butler,"Better, Lost, Never"
"I am certain of nothing but the holiness of the heart's affections, and the truth of imagination.",John Keats,"Truth, Imagination, Heart"
I believe I can even yet remember when I saw the stars for the first time.,Max Muller,"Time, Stars, Believe"
"The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test.",Joan Chen,"Love, God, Love Is"
"I think romance is anything honest. As long as it's honest, it's so disarming.",Kristen Stewart,"Long, Anything, Think"
"The sound of a kiss is not so loud as that of a cannon, but its echo lasts a great deal longer.","Oliver Wendell Holmes, Sr.","Great, Kiss, Sound"
"When you look at me, when you think of me, I am in paradise.",William Makepeace Thackeray,"I Am, Me, Look"
"If I can stop one heart from breaking, I shall not live in vain.",Emily Dickinson,"Heart, Stop, Live"
"I am in you and you in me, mutual in divine love.",William Blake,"Love, I Am, Me"
"How far away the stars seem, and how far is our first kiss, and ah, how old my heart.",William Butler Yeats,"Heart, Stars, Kiss"
"The essence of romantic love is that wonderful beginning, after which sadness and impossibility may become the rule.",Anita Brookner,"Love, Love Is, Beginning"
"Some say that the age of chivalry is past, that the spirit of romance is dead. The age of chivalry is never past, so long as there is a wrong left unredressed on earth.",Charles Kingsley,"Age, Long, Past"
A man's kiss is his signature.,Mae West,"Man, Kiss, Signature"
Morning without you is a dwindled dawn.,Emily Dickinson,"Morning, Dawn, Without"
