title,author,tags
"We must reject the idea that every time a law's broken, society is guilty rather than the lawbreaker. It is time to restore the American precept that each individual is accountable for his actions.",Ronald Reagan,"Time, Law, Broken"
A good person can make another person good; it means that goodness will elicit goodness in the society; other persons will also be good.,Bhumibol Adulyadej,"Good, Will, Good Person"
Every society gets the kind of criminal it deserves. What is equally true is that every community gets the kind of law enforcement it insists on.,Robert Kennedy,"Community, Law, True"
I say what I want to say and do what I want to do. There's no in between. People will either love you for it or hate you for it.,Eminem,"Love, Hate, Will"
"Anyway, no drug, not even alcohol, causes the fundamental ills of society. If we're looking for the source of our troubles, we shouldn't test people for drugs, we should test them for stupidity, ignorance, greed and love of power.",P. J. O'Rourke,"Love, Power, Stupidity"
Neither the life of an individual nor the history of a society can be understood without understanding both.,C. Wright Mills,"Life, History, Understanding"
The most dangerous creation of any society is the man who has nothing to lose.,James Baldwin,"Man, Lose, Nothing"
Our society is run by insane people for insane objectives. I think we're being run by maniacs for maniacal ends and I think I'm liable to be put away as insane for expressing that. That's what's insane about it.,John Lennon,"People, Think, Being"
"Where justice is denied, where poverty is enforced, where ignorance prevails, and where any one class is made to feel that society is an organized conspiracy to oppress, rob and degrade them, neither persons nor property will be safe.",Frederick Douglass,"Justice, Ignorance, Poverty"
"Society as a whole benefits immeasurably from a climate in which all persons, regardless of race or gender, may have the opportunity to earn respect, responsibility, advancement and remuneration based on ability.",Sandra Day O'Connor,"Respect, Opportunity, Responsibility"
"People are going to behave however the social norms permit, and beyond that.",Max Cannon,"People, Beyond, Behave"
We have to talk about liberating minds as well as liberating society.,Angela Davis,"Talk, Well, About"
"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",Mahatma Gandhi,"Faith, Lose, Humanity"
"Think what a better world it would be if we all, the whole world, had cookies and milk about three o'clock every afternoon and then lay down on our blankets for a nap.",Barbara Jordan,"World, Better, Cookies"
There can be no keener revelation of a society's soul than the way in which it treats its children.,Nelson Mandela,"Soul, Way, Children"
The most violent element in society is ignorance.,Emma Goldman,"Ignorance, Most, Element"
A people that values its privileges above its principles soon loses both.,Dwight D. Eisenhower,"People, Principles, Values"
"The trouble with the rat race is that even if you win, you're still a rat.",Lily Tomlin,"Win, Trouble, Race"
"In a closed society where everybody's guilty, the only crime is getting caught. In a world of thieves, the only final sin is stupidity.",Hunter S. Thompson,"Stupidity, World, Crime"
"No society can surely be flourishing and happy, of which the far greater part of the members are poor and miserable.",Adam Smith,"Poor, Happy, Miserable"
Our society strives to avoid any possibility of offending anyone - except God.,Billy Graham,"God, Avoid, Except"
