title,author,tags
The Universe is under no obligation to make sense to you.,Neil deGrasse Tyson,"Universe, Make, Sense"
There are no passengers on spaceship earth. We are all crew.,Marshall McLuhan,"Earth, Crew, Spaceship"
"The Earth is the cradle of humanity, but mankind cannot stay in the cradle forever.",Konstantin Tsiolkovsky,"Humanity, Earth, Stay"
Space isn't remote at all. It's only an hour's drive away if your car could go straight upwards.,Fred Hoyle,"Car, Your, Drive"
Space is an inspirational concept that allows you to dream big.,Peter Diamandis,"Inspirational, Dream, Big"
I would like to die on Mars. Just not on impact.,Elon Musk,"Mars, Die, Impact"
"At night, when the sky is full of stars and the sea is still you get the wonderful sensation that you are floating in space.",Natalie Wood,"Sky, Stars, Sea"
The moon is a friend for the lonesome to talk to.,Carl Sandburg,"Moon, Talk, Friend"
"I think the universe is pure geometry - basically, a beautiful shape twisting around and dancing over space-time.",Antony Garrett Lisi,"Beautiful, Universe, Geometry"
"The stars don't look bigger, but they do look brighter.",Sally Ride,"Stars, Look, Bigger"
"Oh, don't let's ask for the moon. We've already got the stars.",Bette Davis,"Stars, Moon, Got"
"Hey sky, take off your hat, I'm on my way!",Valentina Tereshkova,"Sky, Your, Hat"
"When you look at the stars and the galaxy, you feel that you are not just from any particular piece of land, but from the solar system.",Kalpana Chawla,"Stars, Look, Feel"
It's a very sobering feeling to be up in space and realize that one's safety factor was determined by the lowest bidder on a government contract.,Alan Shepard,"Government, Feeling, Safety"
"When you're getting ready to launch into space, you're sitting on a big explosion waiting to happen.",Sally Ride,"Waiting, Launch, Sitting"
"When you launch in a rocket, you're not really flying that rocket. You're just sort of hanging on.",Michael P. Anderson,"Launch, Rocket, Hanging"
"One in 200 stars has habitable Earth-like planets surrounding it - in the galaxy, half a billion stars have Earth-like planets going around them - that's huge, half a billion. So when we look at the night sky, it makes sense that someone is looking back at us.",Michio Kaku,"Sky, Stars, Looking Back"
"Whenever I gaze up at the moon, I feel like I'm on a time machine. I am back to that precious pinpoint of time, standing on the foreboding - yet beautiful - Sea of Tranquility. I could see our shining blue planet Earth poised in the darkness of space.",Buzz Aldrin,"Time, Beautiful, Moon"
The dinosaurs became extinct because they didn't have a space program.,Larry Niven,"Dinosaurs, Because, Program"
"That's one small step for a man, one giant leap for mankind.",Neil Armstrong,"Man, Step, Leap"
We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.,Stephen Hawking,"Universe, Understand, Us"
"Modern science says: 'The sun is the past, the earth is the present, the moon is the future.' From an incandescent mass we have originated, and into a frozen mass we shall turn. Merciless is the law of nature, and rapidly and irresistibly we are drawn to our doom.",Nikola Tesla,"Science, Future, Nature"
The scientific theory I like best is that the rings of Saturn are composed entirely of lost airline luggage.,Mark Russell,"Best, Lost, Theory"
You cannot look up at the night sky on the Planet Earth and not wonder what it's like to be up there amongst the stars. And I always look up at the moon and see it as the single most romantic place within the cosmos.,Tom Hanks,"Romantic, Always, Sky"
"The most important thing we can do is inspire young minds and to advance the kind of science, math and technology education that will help youngsters take us to the next phase of space travel.",John Glenn,"Science, Education, Technology"
"If you are in a spaceship that is traveling at the speed of light, and you turn on the headlights, does anything happen?",Steven Wright,"Light, Speed, Turn"
After one look at this planet any visitor from outer space would say 'I want to see the manager.',William S. Burroughs,"Look, See, Planet"
"Do you realize that if you fall into a black hole, you will see the entire future of the Universe unfold in front of you in a matter of moments and you will emerge into another space-time created by the singularity of the black hole you just fell into?",Neil deGrasse Tyson,"Future, Universe, Black"
I see Earth! It is so beautiful!,Yuri Gagarin,"Beautiful, Earth, See"
They say any landing you can walk away from is a good one.,Alan Shepard,"Good, Walk, They Say"
"Those are the same stars, and that is the same moon, that look down upon your brothers and sisters, and which they see as they look up to them, though they are ever so far away from us, and each other.",Sojourner Truth,"Your, Stars, Moon"
"It suddenly struck me that that tiny pea, pretty and blue, was the Earth. I put up my thumb and shut one eye, and my thumb blotted out the planet Earth. I didn't feel like a giant. I felt very, very small.",Neil Armstrong,"Me, Blue, Feel"
"You never enjoy the world aright, till the sea itself floweth in your veins, till you are clothed with the heavens and crowned with the stars.",Thomas Traherne,"Your, Stars, World"
"Once you've been in space, you appreciate how small and fragile the Earth is.",Valentina Tereshkova,"Earth, Appreciate, Small"
The heart looks into space to be away from earth.,Richard Jefferies,"Heart, Earth, Looks"
"Time travel used to be thought of as just science fiction, but Einstein's general theory of relativity allows for the possibility that we could warp space-time so much that you could go off in a rocket and return before you set out.",Stephen Hawking,"Science, Time, Travel"
"If the Sun and Moon should ever doubt, they'd immediately go out.",William Blake,"Moon, Sun, Doubt"
I think we are at the dawn of a new era in commercial space exploration.,Elon Musk,"New, Dawn, New Era"
The black holes of nature are the most perfect macroscopic objects there are in the universe: the only elements in their construction are our concepts of space and time.,Subrahmanyan Chandrasekhar,"Nature, Time, Universe"
What we observe as material bodies and forces are nothing but shapes and variations in the structure of space.,Erwin Schrodinger,"Nothing, Observe, Structure"
"It is far better to grasp the universe as it really is than to persist in delusion, however satisfying and reassuring.",Carl Sagan,"Universe, Better, Delusion"
"Philosophically, the universe has really never made things in ones. The Earth is special and everything else is different? No, we've got seven other planets. The sun? No, the sun is one of those dots in the night sky. The Milky Way? No, it's one of a hundred billion galaxies. And the universe - maybe it's countless other universes.",Neil deGrasse Tyson,"Sky, Sun, Universe"
"Land on Mars, a round-trip ticket - half a million dollars. It can be done.",Elon Musk,"Done, Mars, Land"
The most important thing about Spaceship Earth - an instruction book didn't come with it.,R. Buckminster Fuller,"Important, Earth, Book"
"Houston, Tranquillity Base here. The Eagle has landed.",Neil Armstrong,"Eagle, Here, Houston"
"Our passionate preoccupation with the sky, the stars, and a God somewhere in outer space is a homing impulse. We are drawn back to where we came from.",Eric Hoffer,"God, Sky, Stars"
"Man must at all costs overcome the Earth's gravity and have, in reserve, the space at least of the Solar System.",Konstantin Tsiolkovsky,"Man, Earth, Overcome"
"In order for us to have a future that's exciting and inspiring, it has to be one where we're a space-bearing civilization.",Elon Musk,"Future, Civilization, Us"
"Space exploration promised us alien life, lucrative planetary mining, and fabulous lunar colonies. News flash, ladies and gents: Space is nearly empty. It's a sterile vacuum, filled mostly with the junk we put up there.",Graham Hawkes,"Life, News, Alien"
"In spite of the opinions of certain narrow-minded people, who would shut up the human race upon this globe, as within some magic circle it must never outstep, we shall one day travel to the moon, the planets, and the stars, with the same facility, rapidity, and certainty as we now make the voyage from Liverpool to New York!",Jules Verne,"Travel, Day, Stars"
"The world, when you look at it, it just can't be random. I mean, it's so different than the vast emptiness that is everything else, and even all the other planets we've seen, at least in our solar system, none of them even remotely resemble the precious life-giving nature of our own planet.",Chris Hadfield,"Nature, World, Random"
"If the Earth gets hit by an asteroid, it's game over. It's control-alt-delete for civilization.",Bill Nye,"Game, Earth, Civilization"
Who are we? We find that we live on an insignificant planet of a humdrum star lost in a galaxy tucked away in some forgotten corner of a universe in which there are far more galaxies than people.,Carl Sagan,"Universe, Lost, Find"
What is the use of a house if you haven't got a tolerable planet to put it on?,Henry David Thoreau,"House, Use, Planet"
I think we're going to the moon because it's in the nature of the human being to face challenges. It's by the nature of his deep inner soul... we're required to do these things just as salmon swim upstream.,Neil Armstrong,"Nature, Soul, Challenges"
We knew it was going to be difficult to get to the moon. We didn't know how difficult.,Alan Bean,"Moon, Difficult, Know"
"We travel together, passengers on a little spaceship, dependent on its vulnerable reserves of air and soil, all committed, for our safety, to its security and peace. Preserved from annihilation only by the care, the work and the love we give our fragile craft.",Adlai Stevenson I,"Love, Work, Peace"
"Don't even try to talk to me when I'm watching the moon. That's my moon, baby.",Wendelin Van Draanen,"Moon, Me, Try"
"Space is big. You just won't believe how vastly, hugely, mind-bogglingly big it is. I mean, you may think it's a long way down the road to the drug store, but that's just peanuts to space.",Douglas Adams,"Believe, Long, Road"
"I don't think the human race will survive the next thousand years, unless we spread into space.",Stephen Hawking,"Will, Survive, Race"
"Put three grains of sand inside a vast cathedral, and the cathedral will be more closely packed with sand than space is with stars.",James Jeans,"Stars, Will, Sand"
The eternal silence of these infinite spaces frightens me.,Blaise Pascal,"Silence, Me, Infinite"
"Maybe the search for life shouldn't restrict attention to planets like Earth. Science fiction writers have other ideas: balloon-like creatures floating in the dense atmospheres of planets such as Jupiter, swarms of intelligent insects, nano-scale robots and more.",Martin Rees,"Life, Science, Search"
"Rocket science is tough, and rockets have a way of failing.",Sally Ride,"Science, Way, Tough"
"I would rather be a superb meteor, every atom of me in magnificent glow, than a sleepy and permanent planet.",Jack London,"Me, Glow, Permanent"
"Before we had airplanes and astronauts, we really thought that there was an actual place beyond the clouds, somewhere over the rainbow. There was an actual place, and we could go above the clouds and find it there.",Barbara Walters,"Clouds, Rainbow, Find"
"I said it's a cold universe and I don't mean that metaphorically. If you go out into space, it's cold. It's really cold and we don't know what's up there. We happen to be in this little pocket where there's a sun. What have we got except love and each other to guard against all that isolation and loneliness?",David Chase,"Love, Loneliness, Sun"
"There is a fifth dimension, beyond that which is known to man. It is a dimension as vast as space and as timeless as infinity. It is the middle ground between light and shadow, between science and superstition.",Rod Serling,"Science, Shadow, Light"
"What can we gain by sailing to the moon if we are not able to cross the abyss that separates us from ourselves? This is the most important of all voyages of discovery, and without it, all the rest are not only useless, but disastrous.",Thomas Merton,"Moon, Rest, Important"
"I think humans will reach Mars, and I would like to see it happen in my lifetime.",Buzz Aldrin,"Mars, Will, See"
"In so many and such important ways, then, do the planets bear witness to the earth's mobility.",Nicolaus Copernicus,"Important, Earth, Planets"
Mining asteroids will ultimately benefit humanity on and off the Earth in a multitude of ways.,Peter Diamandis,"Humanity, Will, Earth"
"If you're going to go to the moon, you don't shoot the rocket right at the moon. You have to go at it obliquely.",Drew Houston,"Moon, Right, Go"
"I was a frustrated astronaut all my life. I grew up at a time when space seemed to have no boundaries, and lots of us presumed humans would be living on the moon and landing on Mars.",David Mackay,"Life, Time, Moon"
"The stars look the same from night to night. Nebulae and galaxies are dully immutable, maintaining the same overall appearance for thousands or millions of years. Indeed, only the sun, moon and planets - together with the occasional comet, asteroid or meteor - seem dynamic.",Seth Shostak,"Together, Stars, Moon"
"So most astronauts getting ready to lift off are excited and very anxious and worried about that explosion - because if something goes wrong in the first seconds of launch, there's not very much you can do.",Sally Ride,"Launch, First, Excited"
We are not going to be able to operate our Spaceship Earth successfully nor for much longer unless we see it as a whole spaceship and our fate as common. It has to be everybody or nobody.,R. Buckminster Fuller,"Fate, Nobody, Earth"
One thing I probably share with everyone else in the astronaut office is composure.,Sally Ride,"Everyone, Else, One Thing"
For the wise man looks into space and he knows there is no limited dimensions.,Zhuangzi,"Wise, Man, Wise Man"
"Sometimes I think we're alone in the universe, and sometimes I think we're not. In either case the idea is quite staggering.",Arthur C. Clarke,"Alone, Universe, Sometimes"
Space exploration is a force of nature unto itself that no other force in society can rival.,Neil deGrasse Tyson,"Nature, Society, Exploration"
"If I can get some student interested in science, if I can show members of the general public what's going on up there in the space program, then my job's been done.",Christa McAuliffe,"Science, Done, Job"
"Mankind will not forever remain on Earth but, in the pursuit of light and space, will first timidly emerge from the bounds of the atmosphere and then advance until he has conquered the whole of circumsolar space.",Konstantin Tsiolkovsky,"Light, Will, Earth"
Those folks out in the space suits are going to be getting beat up.,Duane G. Carey,"Beat, Suits, Going"
"I think it's going to be a very important, unique data set in terms of measuring the behavior of your lower body in space and trying to figure out what we can do to preserve bone and muscle density.",John L. Phillips,"Your, Body, Behavior"
"There is good evidence that Venus once had liquid water and a much thinner atmosphere, similar to Earth billions of years ago. But today the surface of Venus is dry as a bone, hot enough to melt lead, there are clouds of sulfuric acid that reach a hundred miles high and the air is so thick it's like being 900 meters deep in the ocean.",Bill Nye,"Good, Today, Clouds"
The feeling is constantly growing on me that I had been the first to hear the greeting of one planet to another.,Nikola Tesla,"Me, Feeling, First"
"Each year, thousands of UFOs are sighted and reported, which is an impressive tally of unidentified aerial phenomena. Surveys show that roughly one-third of the populace believes that at least some of this sky show is due to extraterrestrial spacecraft, here to probe our airspace and, when that proves boring, our bodies.",Seth Shostak,"Sky, Boring, Show"
"According to String Theory, what appears to be empty space is actually a tumultuous ocean of strings vibrating at the precise frequencies that create the 4 dimensions you and I call height, width, depth and time.",Roy H. Williams,"Time, Create, Ocean"
"A black hole really is an object with very rich structure, just like Earth has a rich structure of mountains, valleys, oceans, and so forth. Its warped space whirls around the central singularity like air in a tornado.",Kip Thorne,"Rich, Black, Earth"
"Supplying fuel for a Mars expedition from the lunar surface is often suggested, but it's hard to make it pay off - Moon bases are expensive, and just buying more rockets to launch fuel from Earth is relatively cheap.",Henry Spencer,"Moon, Mars, Earth"
"Sometimes people ask me how difficult the astronaut program was, but being in Sierra Leone, being responsible for the health of more than 200 people, seven days a week, 24 hours a day, 365 days a year, at age 26 - that prepared me to take on a lot of different challenges.",Mae Jemison,"Health, Age, Day"
I've been lucky enough to fly to space twice.,Chris Hadfield,"Fly, Enough, Lucky"
"The earth together with its surrounding waters must in fact have such a shape as its shadow reveals, for it eclipses the moon with the arc of a perfect circle.",Nicolaus Copernicus,"Shadow, Together, Moon"
"On Earth, men and women are taking the same risks. Why shouldn't we be taking the same risks in space?",Valentina Tereshkova,"Women, Men, Risks"
Space enthusiasts are the most susceptible demographic to delusion that I have ever seen.,Neil deGrasse Tyson,"Delusion, Seen, Most"
"I feel that my father's greatest legacy was the people he inspired to get involved in public service and their communities, to join the Peace Corps, to go into space. And really that generation transformed this country in civil rights, social justice, the economy and everything.",Caroline Kennedy,"Peace, Justice, Legacy"
"If we drive down the cost of transportation in space, we can do great things.",Elon Musk,"Great, Drive, Great Things"
Ye stars! which are the poetry of heaven!,Lord Byron,"Poetry, Stars, Heaven"
"Empty space is a boiling, bubbling brew of virtual particles that pop in and out of existence in a time scale so short that you can't even measure them.",Lawrence M. Krauss,"Time, Measure, Empty"
