title,author,tags
"My motto was always to keep swinging. Whether I was in a slump or feeling badly or having trouble off the field, the only thing to do was keep swinging.",Hank Aaron,"Always, Keep, Motto"
"When the going gets weird, the weird turn pro.",Hunter S. Thompson,"Weird, Turn, Going"
You can't win unless you learn how to lose.,Kareem Abdul-Jabbar,"Lose, Win, Learn"
Success is where preparation and opportunity meet.,Bobby Unser,"Success, Opportunity, Preparation"
"Football is a simple game. Twenty-two men chase a ball for 90 minutes and at the end, the Germans always win.",Gary Lineker,"Men, Always, Football"
People ask me what I do in winter when there's no baseball. I'll tell you what I do. I stare out the window and wait for spring.,Rogers Hornsby,"Spring, Window, Wait"
"Gold medals aren't really made of gold. They're made of sweat, determination, and a hard-to-find alloy called guts.",Dan Gable,"Determination, Gold, Sweat"
Some people are born on third base and go through life thinking they hit a triple.,Barry Switzer,"Life, Thinking, People"
"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.",Michael Jordan,"Life, Game, My Life"
Trying to sneak a fastball past Hank Aaron is like trying to sneak the sunrise past a rooster.,Joe Adcock,"Past, Sunrise, Trying"
Champions keep playing until they get it right.,Billie Jean King,"Keep, Right, Until"
"Every day is a new opportunity. You can build on yesterday's success or put its failures behind and start over again. That's the way life is, with a new game every day, and that's the way baseball is.",Bob Feller,"Life, Success, Opportunity"
"I'm tired of hearing about money, money, money, money, money. I just want to play the game, drink Pepsi, wear Reebok.",Shaquille O'Neal,"Money, Tired, Game"
Football is football and talent is talent. But the mindset of your team makes all the difference.,Robert Griffin III,"Football, Your, Talent"
Many men go fishing all of their lives without knowing that it is not fish they are after.,Henry David Thoreau,"Men, Fishing, Fish"
Sports do not build character. They reveal it.,Heywood Broun,"Character, Build, Reveal"
"I went to a fight the other night, and a hockey game broke out.",Rodney Dangerfield,"Fight, Game, Hockey"
The only way to prove that you're a good sport is to lose.,Ernie Banks,"Good, Lose, Way"
"You can't put a limit on anything. The more you dream, the farther you get.",Michael Phelps,"Dream, Limit, Anything"
"Just be patient. Let the game come to you. Don't rush. Be quick, but don't hurry.",Earl Monroe,"Game, Rush, Patient"
Do you know what my favorite part of the game is? The opportunity to play.,Mike Singletary,"Opportunity, Game, Know"
There are only two seasons - winter and Baseball.,Bill Veeck,"Winter, Seasons, Baseball"
"The way a team plays as a whole determines its success. You may have the greatest bunch of individual stars in the world, but if they don't play together, the club won't be worth a dime.",Babe Ruth,"Success, Together, Stars"
"To find a man's true character, play golf with him.",P. G. Wodehouse,"Character, Man, True"
Winners never quit and quitters never win.,Vince Lombardi,"Win, Never, Quit"
Fans don't boo nobodies.,Reggie Jackson,"Fans, Boo"
"God made me fast. And when I run, I feel His pleasure.",Eric Liddell,"God, Me, Feel"
All hockey players are bilingual. They know English and profanity.,Gordie Howe,"Hockey, Know, Players"
Hockey is a sport for white men. Basketball is a sport for black men. Golf is a sport for white men dressed like black pimps.,Tiger Woods,"Men, Hockey, Black"
"I always turn to the sports pages first, which records people's accomplishments. The front page has nothing but man's failures.",Earl Warren,"Always, Man, Nothing"
One man practicing sportsmanship is far better than a hundred teaching it.,Knute Rockne,"Man, Better, Far"
I'll let the racket do the talking.,John McEnroe,"Talking, Racket"
Don't look back. Something might be gaining on you.,Satchel Paige,"Look, Back, Something"
You spend a good piece of your life gripping a baseball and in the end it turns out that it was the other way around all the time.,Jim Bouton,"Life, Good, Time"
"If a tie is like kissing your sister, losing is like kissing you grandmother with her teeth out.",George Brett,"Your, Losing, Sister"
