title,author,tags
Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,Norman Cousins,"Life, Death, Live"
"That though the radiance which was once so bright be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, glory in the flower. We will grieve not, rather find strength in what remains behind.",William Wordsworth,"Strength, Flower, Nothing"
Grief is the price we pay for love.,Queen Elizabeth II,"Love, Grief, Price"
"Here bring your wounded hearts, here tell your anguish; Earth has no sorrow that Heaven cannot heal.",Thomas Moore,"Your, Heaven, Earth"
"Unable are the loved to die, for love is immortality.",Emily Dickinson,"Love, Love Is, Die"
"One's life has value so long as one attributes value to the life of others, by means of love, friendship, indignation and compassion.",Simone de Beauvoir,"Life, Friendship, Love"
"Grief changes shape, but it never ends.",Keanu Reeves,"Never, Grief, Shape"
It's sad when someone you know becomes someone you knew.,Henry Rollins,"Sad, Know, Someone"
"The purpose of human life is to serve, and to show compassion and the will to help others.",Albert Schweitzer,"Life, Compassion, Purpose"
Life has never been easy. Nor is it meant to be. It is a matter of being joyous in the face of sorrow.,Dirk Benedict,"Life, Face, Matter"
There is no pain so great as the memory of joy in present grief.,Aeschylus,"Great, Pain, Joy"
"Loss and possession, death and life are one, There falls no shadow where there shines no sun.",Hilaire Belloc,"Life, Death, Shadow"
Worry does not empty tomorrow of its sorrow. It empties today of its strength.,Corrie Ten Boom,"Strength, Today, Tomorrow"
"What is lovely never dies, But passes into other loveliness.",Thomas Bailey Aldrich,"Never, Lovely, Other"
There is no greater sorrow than to recall happiness in times of misery.,Dante Alighieri,"Happiness, Sorrow, Misery"
"Let no one weep for me, or celebrate my funeral with mourning; for I still live, as I pass to and fro through the mouths of men.",Quintus Ennius,"Men, Celebrate, Me"
Sorrow is so easy to express and yet so hard to tell.,Joni Mitchell,"Easy, Sorrow, Hard"
"No matter how prepared you think you are for the death of a loved one, it still comes as a shock, and it still hurts very deeply.",Billy Graham,"Death, Matter, Loved"
"When sorrows come, they come not single spies, but in battalions.",William Shakespeare,"Spies, Come, Single"
"The loss of a friend is like that of a limb; time may heal the anguish of the wound, but the loss cannot be repaired.",Robert Southey,"Time, Loss, May"
"Truly, it is in darkness that one finds the light, so when we are in sorrow, then this light is nearest of all to us.",Meister Eckhart,"Light, Darkness, Sorrow"
"Excess of grief for the dead is madness; for it is an injury to the living, and the dead know it not.",Xenophon,"Living, Know, Dead"
What does love look like? It has the hands to help others. It has the feet to hasten to the poor and needy. It has eyes to see misery and want. It has the ears to hear the sighs and sorrows of men. That is what love looks like.,Saint Augustine,"Love, Men, Eyes"
"Sorrow can be alleviated by good sleep, a bath and a glass of wine.",Thomas Aquinas,"Good, Sleep, Bath"
I think loss of loved ones is the hardest blow in life.,Marlo Thomas,"Life, Loss, Loved"
