title,author,tags
A teacher affects eternity; he can never tell where his influence stops.,Henry Adams,"Influence, Never, Eternity"
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",Brad Henry,"Love, Hope, Good"
"Education is the key to success in life, and teachers make a lasting impact in the lives of their students.",Solomon Ortiz,"Life, Education, Success"
I have come to believe that a great teacher is a great artist and that there are as few as there are any other great artists. Teaching might even be the greatest of the arts since the medium is the human mind and spirit.,John Steinbeck,"Great, Mind, Believe"
Those who have no record of what their forebears have accomplished lose the inspiration which comes from the teaching of biography and history.,Carter G. Woodson,"History, Lose, Inspiration"
Your best teacher is your last mistake.,Ralph Nader,"Best, Your, Mistake"
The art of teaching is the art of assisting discovery.,Mark Van Doren,"Art, Discovery, Teaching"
Good teachers know how to bring out the best in students.,Charles Kuralt,"Best, Good, Know"
I touch the future. I teach.,Christa McAuliffe,"Future, Touch, Teach"
"A good teacher, like a good entertainer first must hold his audience's attention, then he can teach his lesson.",John Henrik Clarke,"Good, Good Teacher, First"
We spend the first twelve months of our children's lives teaching them to walk and talk and the next twelve telling them to sit down and shut up.,Phyllis Diller,"Walk, Children, Talk"
To this end the greatest asset of a school is the personality of the teacher.,John Strachan,"Personality, End, School"
I cannot emphasize enough the importance of a good teacher.,Temple Grandin,"Good, Good Teacher, Enough"
A professor is someone who talks in someone else's sleep.,W. H. Auden,"Sleep, Someone, Who"
"Failure is a great teacher, and I think when you make mistakes and you recover from them and you treat them as valuable learning experiences, then you've got something to share.",Steve Harvey,"Failure, Learning, Great"
"One looks back with appreciation to the brilliant teachers, but with gratitude to those who touched our human feelings. The curriculum is so much necessary raw material, but warmth is the vital element for the growing plant and for the soul of the child.",Carl Jung,"Soul, Appreciation, Plant"
"None of us got where we are solely by pulling ourselves up by our bootstraps. We got here because somebody - a parent, a teacher, an Ivy League crony or a few nuns - bent down and helped us pick up our boots.",Thurgood Marshall,"Down, Boots, Parent"
"If you have to put someone on a pedestal, put teachers. They are society's heroes.",Guy Kawasaki,"Society, Someone, Teachers"
"I have learned silence from the talkative, toleration from the intolerant, and kindness from the unkind; yet, strange, I am ungrateful to those teachers.",Khalil Gibran,"Kindness, Silence, I Am"
A good teacher is a determined person.,Gilbert Highet,"Good, Good Teacher, Person"
It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,Albert Einstein,"Knowledge, Art, Joy"
The most important part of teaching is to teach what it is to know.,Simone Weil,"Important, Know, Teach"
"I am indebted to my father for living, but to my teacher for living well.",Alexander the Great,"I Am, Father, Living"
"Experience is a good teacher, but she sends in terrific bills.",Minna Antrim,"Good, Experience, Good Teacher"
I like a teacher who gives you something to take home to think about besides homework.,Lily Tomlin,"Home, Homework, Something"
Teachers can change lives with just the right mix of chalk and challenges.,Joyce Meyer,"Change, Challenges, Right"
One good teacher in a lifetime may sometimes change a delinquent into a solid citizen.,Philip Wylie,"Change, Good, Good Teacher"
"We discovered that education is not something which the teacher does, but that it is a natural process which develops spontaneously in the human being.",Maria Montessori,"Education, Process, Human"
I was lucky that I met the right mentors and teachers at the right moment.,James Levine,"Moment, Right, Teachers"
Prosperity is a great teacher; adversity a greater.,William Hazlitt,"Great, Adversity, Prosperity"
"If I can make a teacher's salary doing comedy, I think that's better than being a teacher.",Dave Chappelle,"Better, Doing, Salary"
Only one person in a million becomes enlightened without a teacher's help.,Bodhidharma,"Person, Help, Only"
"The task of the modern educator is not to cut down jungles, but to irrigate deserts.",C. S. Lewis,"Down, Task, Cut"
"The dream begins with a teacher who believes in you, who tugs and pushes and leads you to the next plateau, sometimes poking you with a sharp stick called 'truth'.",Dan Rather,"Truth, Sometimes, Dream"
"Teach love, generosity, good manners and some of that will drift from the classroom to the home and who knows, the children will be educating the parents.",Roger Moore,"Love, Good, Home"
"When I was in junior high school, the teachers voted me the student most likely to end up in the electric chair.",Sylvester Stallone,"Me, Chair, End"
History is Philosophy teaching by example.,Thucydides,"History, Example, Philosophy"
The whole art of teaching is only the art of awakening the natural curiosity of young minds for the purpose of satisfying it afterwards.,Anatole France,"Art, Curiosity, Purpose"
"The best teacher is the one who suggests rather than dogmatizes, and inspires his listener with the wish to teach himself.",Edward G. Bulwer-Lytton,"Best, Wish, Who"
Everybody's a teacher if you listen.,Doris Roberts,"Listen, Everybody, You"
"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul.",Swami Vivekananda,"Your, Soul, Grow"
A teacher who is attempting to teach without inspiring the pupil with a desire to learn is hammering on cold iron.,Horace Mann,"Cold, Desire, Who"
"You never stop learning. If you have a teacher, you never stop being a student.",Elisabeth Rohm,"Learning, Never, Stop"
A child's learning is a function more of the characteristics of his classmates than those of the teacher.,James S. Coleman,"Learning, Classmates, More"
TV is bigger than any story it reports. It's the greatest teaching tool since the printing press.,Fred W. Friendly,"Printing, Story, Bigger"
The true teacher defends his pupils against his own personal influence. He inspires self-trust. He guides their eyes from himself to the spirit that quickens him. He will have no disciples.,Amos Bronson Alcott,"Eyes, Will, Influence"
Most of us end up with no more than five or six people who remember us. Teachers have thousands of people who remember them for the rest of their lives.,Andy Rooney,"Rest, Remember, People"
"The thing I loved the most - and still love the most about teaching - is that you can connect with an individual or a group, and see that individual or group exceed their limits.",Mike Krzyzewski,"Love, Limits, Group"
We expert teachers know that motivation and emotional impact are what matter.,Donald Norman,"Matter, Know, Impact"
"My heart is singing for joy this morning! A miracle has happened! The light of understanding has shone upon my little pupil's mind, and behold, all things are changed!",Anne Sullivan,"Morning, Heart, Light"
Every child should have a caring adult in their lives. And that's not always a biological parent or family member. It may be a friend or neighbor. Often times it is a teacher.,Joe Manchin,"Family, Always, Caring"
The impending teacher shortage is the most critical education issue we will face in the next decade.,David Price,"Education, Face, Will"
A teacher is a person who never says anything once.,Howard Nemerov,"Person, Never, Anything"
"In a completely rational society, the best of us would be teachers and the rest of us would have to settle for something else.",Lee Iacocca,"Best, Society, Rest"
"If I am walking with two other men, each of them will serve as my teacher. I will pick out the good points of the one and imitate them, and the bad points of the other and correct them in myself.",Confucius,"Good, Men, Myself"
"The teacher is the one who gets the most out of the lessons, and the true teacher is the learner.",Elbert Hubbard,"True, Who, Lessons"
Everybody who is incapable of learning has taken to teaching.,Oscar Wilde,"Learning, Who, Incapable"
You know how to tell if the teacher is hung over? Movie Day.,Jay Mohr,"Day, Know, Tell"
"The five steps in teaching an employee new skills are preparation, explanation, showing, observation and supervision.",Bruce Barton,"Preparation, New, Observation"
"There are two kinds of teachers: the kind that fill you with so much quail shot that you can't move, and the kind that just gives you a little prod behind and you jump to the skies.",Robert Frost,"Jump, Behind, Teachers"
What we become depends on what we read after all of the professors have finished with us. The greatest university of all is a collection of books.,Thomas Carlyle,"University, Us, Collection"
"When people lack teachers, their tendencies are not corrected; when they do not have ritual and moral principles, then their lawlessness is not controlled.",Xun Kuang,"People, Principles, Teachers"
Those who know how to think need no teachers.,Mahatma Gandhi,"Know, Teachers, Think"
"You can get help from teachers, but you are going to have to learn a lot by yourself, sitting alone in a room.",Dr. Seuss,"Alone, Yourself, Room"
A self-taught man usually has a poor teacher and a worse student.,Henny Youngman,"Man, Poor, Worse"
"We may have forgotten how to feel. Nobody is teaching us how to live happily ever after, as we've heard in fairy tales.",Yakov Smirnoff,"Feel, Nobody, Live"
"Please stop teaching my children that everyone gets a trophy just for participating. What is this, the Nobel Prize? Not everybody gets a trophy.",Glenn Beck,"Trophy, Children, Everyone"
The one exclusive sign of thorough knowledge is the power of teaching.,Aristotle,"Knowledge, Power, Sign"
Teachers believe they have a gift for giving; it drives them with the same irrepressible drive that drives others to create a work of art or a market or a building.,A. Bartlett Giamatti,"Work, Art, Believe"
"I think teaching should be an exalted profession, not a picked-on profession.",Chuck Schumer,"Think, Profession, Should"
Catholic schools in our Nation's education have been paramount in teaching the values that we as parents seek to instill in our children.,Joe Baca,"Education, Parents, Children"
I think the teaching profession contributes more to the future of our society than any other single profession.,John Wooden,"Future, Society, Think"
"Every man who rises above the common level has received two educations: the first from his teachers; the second, more personal and important, from himself.",Edward Gibbon,"Man, Important, First"
"It is by teaching that we teach ourselves, by relating that we observe, by affirming that we examine, by showing that we look, by writing that we think, by pumping that we draw water into the well.",Henri Frederic Amiel,"Water, Look, Well"
It is the malady of our age that the young are so busy teaching us that they have no time left to learn.,Eric Hoffer,"Time, Age, Busy"
Take away paradox from the thinker and you have a professor.,Soren Kierkegaard,"Paradox, Take, Thinker"
"I saw as a teacher how, if you take that spark of learning that those children have, and you ignite it, you can take a child from any background to a lifetime of creativity and accomplishment.",Paul Wellstone,"Learning, Accomplishment, Creativity"
"The true aim of everyone who aspires to be a teacher should be, not to impart his own opinions, but to kindle minds.",Frederick William Robertson,"Aim, True, Own"
"Police and firefighters are great, but they don't create wealth. They protect it. That's crucial. Teaching is a wonderful profession. Teachers help educate people to become good citizens so that citizens can then go create wealth. But they don't create the wealth themselves.",Rush Limbaugh,"Good, Great, Police"
"We can teach a lot of things, but if the teacher can't relate by talking to a group of friendly students, he'll never be a competent teacher.",William Glasser,"Group, Never, Things"
A professor must have a theory as a dog must have fleas.,H. L. Mencken,"Dog, Theory, Must"
The world of knowledge takes a crazy turn when teachers themselves are taught to learn.,Bertolt Brecht,"Knowledge, World, Crazy"
