title,author,tags
Any sufficiently advanced technology is indistinguishable from magic.,Arthur C. Clarke,"Magic, Advanced Technology, Any"
"The Internet is so big, so powerful and pointless that for some people it is a complete substitute for life.",Andrew Brown,"Life, Internet, People"
People who are really serious about software should make their own hardware.,Alan Kay,"Own, People, Serious"
Getting information off the Internet is like taking a drink from a fire hydrant.,Mitch Kapor,"Internet, Fire, Information"
Everybody gets so much information all day long that they lose their common sense.,Gertrude Stein,"Day, Long, Lose"
The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,Bill Gates,"Business, Will, Automation"
It is only when they go wrong that machines remind you how powerful they are.,Clive James,"Machines, Go, Wrong"
"Technology... is a queer thing. It brings you great gifts with one hand, and it stabs you in the back with the other.",Carrie Snow,"Great, Back, Thing"
"The number one benefit of information technology is that it empowers people to do what they want to do. It lets people be creative. It lets people be productive. It lets people learn things they didn't think they could learn before, and so in a sense it is all about potential.",Steve Ballmer,"Information, Information Technology"
The internet is a great way to get on the net.,Bob Dole,"Great, Internet, Way"
"Globalization, as defined by rich people like us, is a very nice thing... you are talking about the Internet, you are talking about cell phones, you are talking about computers. This doesn't affect two-thirds of the people of the world.",Jimmy Carter,"Computers, Globalization, Internet"
"Technology is just a tool. In terms of getting the kids working together and motivating them, the teacher is the most important.",Bill Gates,"Teacher, Together, Important"
One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,Elbert Hubbard,"Work, Men, Man"
"For a successful technology, reality must take precedence over public relations, for Nature cannot be fooled.",Richard P. Feynman,"Nature, Reality, Cannot"
We're still in the first minutes of the first day of the Internet revolution.,Scott Cook,"Day, Internet, Revolution"
The new electronic independence re-creates the world in the image of a global village.,Marshall McLuhan,"Independence, Village, World"
"Technology is supposed to make our lives easier, allowing us to do things more quickly and efficiently. But too often it seems to make things harder, leaving us with fifty-button remote controls, digital cameras with hundreds of mysterious features and book-length manuals, and cars with dashboard systems worthy of the space shuttle.",James Surowiecki,"Space, Digital, Mysterious"
Civilization advances by extending the number of important operations which we can perform without thinking of them.,Alfred North Whitehead,"Thinking, Important, Civilization"
What new technology does is create new opportunities to do a job that customers want done.,Tim O'Reilly,"Done, New, Job"
Technological progress has merely provided us with more efficient means for going backwards.,Aldous Huxley,"Progress, Us, Backwards"
"Technology is a gift of God. After the gift of life it is perhaps the greatest of God's gifts. It is the mother of civilizations, of arts and of sciences.",Freeman Dyson,"Life, God, Gift"
Relying on the government to protect your privacy is like asking a peeping tom to install your window blinds.,John Perry Barlow,"Government, Your, Window"
"The technology keeps moving forward, which makes it easier for the artists to tell their stories and paint the pictures they want.",George Lucas,"Moving Forward, Moving, Forward"
You affect the world by what you browse.,Tim Berners-Lee,"World, Affect, Browse"
The real problem is not whether machines think but whether men do.,B. F. Skinner,"Men, Real, Machines"
"Technology gives us power, but it does not and cannot tell us how to use that power. Thanks to technology, we can instantly communicate across the world, but it still doesn't help us know what to say.",Jonathan Sacks,"Power, World, Know"
"Success in creating AI would be the biggest event in human history. Unfortunately, it might also be the last, unless we learn how to avoid the risks.",Stephen Hawking,"Success, History, Risks"
Humanity is acquiring all the right technology for all the wrong reasons.,R. Buckminster Fuller,"Humanity, Right, Wrong"
The digital camera is a great invention because it allows us to reminisce. Instantly.,Demetri Martin,"Great, Digital, Reminisce"
"It's impossible to move, to live, to operate at any level without leaving traces, bits, seemingly meaningless fragments of personal information.",William Gibson,"Impossible, Information, Live"
It has become appallingly obvious that our technology has exceeded our humanity.,Unknown,"Humanity, Obvious, Become"
Technology is the knack of so arranging the world that we don't have to experience it.,Max Frisch,"Experience, World, Knack"
"The Linux philosophy is 'Laugh in the face of danger'. Oops. Wrong One. 'Do it yourself'. Yes, that's it.",Linus Torvalds,"Yourself, Face, Laugh"
"Cell phones, mobile e-mail, and all the other cool and slick gadgets can cause massive losses in our creative output and overall productivity.",Robin S. Sharma,"Cool, Gadgets, Cell Phones"
"The Web as I envisaged it, we have not seen it yet. The future is still so much bigger than the past.",Tim Berners-Lee,"Future, Past, Much"
The Internet treats censorship as a malfunction and routes around it.,John Perry Barlow,"Internet, Censorship, Around"
The original idea of the web was that it should be a collaborative space where you can communicate through sharing information.,Tim Berners-Lee,"Space, Information, Sharing"
"I force people to have coffee with me, just because I don't trust that a friendship can be maintained without any other senses besides a computer or cellphone screen.",John Cusack,"Friendship, Trust, Coffee"
Technology has to be invented or adopted.,Jared Diamond,"Invented, Adopted"
"There are three roads to ruin; women, gambling and technicians. The most pleasant is with women, the quickest is with gambling, but the surest is with technicians.",Georges Pompidou,"Women, Roads, Gambling"
