title,author,tags
It takes courage to grow up and become who you really are.,e. e. cummings,"Courage, Grow, Become"
"We never really grow up, we only learn how to act in public.",Bryan White,"Grow, Never, Act"
Adolescence is just one big walking pimple.,Carol Burnett,"Adolescence, Walking, Big"
"Adolescence is a new birth, for the higher and more completely human traits are now born.",G. Stanley Hall,"Adolescence, New, Born"
"When I was growing up, my parents told me, 'Finish your dinner. People in China and India are starving.' I tell my daughters, 'Finish your homework. People in India and China are starving for your job.'",Thomas Friedman,"Your, Parents, Me"
Teens think listening to music helps them concentrate. It doesn't. It relieves them of the boredom that concentration on homework induces.,Marilyn vos Savant,"Music, Listening, Homework"
Keep true to the dreams of your youth.,Friedrich Schiller,"Dreams, Youth, Your"
"So many people try to grow up too fast, and it's not fun! You should stay a kid as long as possible!",Vanessa Hudgens,"Long, Grow, Try"
Teenagers today are more free to be themselves and to accept themselves.,John Knowles,"Today, Free, Accept"
My teenage years were exactly what they were supposed to be. Everybody has their own path. It's laid out for you. It's just up to you to walk it.,Justin Timberlake,"Walk, Path, Own"
Adolescence isn't just about prom or wearing sparkly dresses.,Jena Malone,"Adolescence, Dresses, Just"
"Friendships in childhood are usually a matter of chance, whereas in adolescence they are most often a matter of choice.",David Elkind,"Chance, Childhood, Adolescence"
"When I was in college, I wanted to be involved in things that would change the world.",Elon Musk,"Change, World, Change The World"
Youth comes but once in a lifetime.,Henry Wadsworth Longfellow,"Youth, Once, Lifetime"
"Trouble is, kids feel they have to shock their elders and each generation grows up into something harder to shock.",Ben Lindsey,"Generation, Elders, Feel"
This generation has given up on growth. They're just hoping for survival.,Penelope Spheeris,"Growth, Survival, Generation"
"For the youth, the indignation of most things will just surge as each birthday passes.",Chris Evans,"Birthday, Youth, Will"
As a teenager I was so insecure. I was the type of guy that never fitted in because he never dared to choose. I was convinced I had absolutely no talent at all. For nothing. And that thought took away all my ambition too.,Johnny Depp,"Talent, Ambition, Nothing"
"Youth is not a time of life; it is a state of mind; it is not a matter of rosy cheeks, red lips and supple knees; it is a matter of the will, quality of the imagination, a vigor of the emotions; it is the freshness of the deep springs of life.",Samuel Ullman,"Life, Time, Imagination"
Good habits formed at youth make all the difference.,Aristotle,"Good, Youth, Difference"
"Being a teen can be tough. Just try to surround yourself with really good friends that really have your back, and also be a really good friend to those who really care about you. If you're not sure about certain things, talk to your friends that you trust and your family.",Victoria Justice,"Family, Good, Trust"
"I wanted to be with the kind of people I'd grown up with, but you can't go back to them and be one of them again, no matter how hard you try.",Ethel Waters,"Try, Matter, People"
Being a teenager is an amazing time and a hard time. It's when you make your best friends - I have girls who will never leave my heart and I still talk to. You get the best and the worst as a teen. You have the best friendships and the worst heartbreaks.,Sophia Bush,"Best, Time, Amazing"
Adolescence is when girls experience social pressure to put aside their authentic selves and to display only a small portion of their gifts.,Mary Pipher,"Experience, Adolescence, Pressure"
"I was a quiet teenager, introverted, full of angst.",Nigella Lawson,"Quiet, Full, Angst"
"I think growing up is difficult and it's a process that I'm always interested in, with kids and adults, they are often on two different universes.",Alice Hoffman,"Always, Process, Difficult"
"No matter how good you are, at some point your kids are gonna have to create their own independence and think that Mom and Dad aren't cool, just to establish themselves. That's what adolescence is about. They're gonna go through that no matter what.",Eddie Vedder,"Good, Cool, Independence"
"As I've said many times, the single most oppressed class in America right now is the teenager.",Joe Bob Briggs,"America, Right, Now"
Telling a teenager the facts of life is like giving a fish a bath.,Arnold H. Glasow,"Life, Fish, Facts"
I got through my teen years by being a bit of a clown.,Diane Cilento,"Clown, Through, Being"
As a teenager you are at the last stage in your life when you will be happy to hear that the phone is for you.,Fran Lebowitz,"Life, Your, Will"
"I have always had a sense that we are all pretty much alone in life, particularly in adolescence.",Robert Cormier,"Life, Alone, Always"
"To an adolescent, there is nothing in the world more embarrassing than a parent.",Dave Barry,"World, Nothing, Parent"
We must tell girls their voices are important.,Malala Yousafzai,"Important, Tell, Must"
All teenagers have this desire to somehow run away.,Joan Chen,"Desire, Away, Run"
Adolescence is the conjugator of childhood and adulthood.,Louise J. Kaplan,"Childhood, Adolescence, Adulthood"
The youth need to be enabled to become job generators from job seekers.,A. P. J. Abdul Kalam,"Youth, Job, Need"
I grew up in a house where nobody had to tell me to go to school every day and do my homework.,Constance Baker Motley,"Day, Me, Homework"
"Your modern teenager is not about to listen to advice from an old person, defined as a person who remembers when there was no Velcro.",Dave Barry,"Your, Advice, Person"
Time misspent in youth is sometimes all the freedom one ever has.,Anita Brookner,"Freedom, Time, Youth"
"Nobody understands anyone 18, including those who are 18.",Jim Bishop,"Nobody, Who, Those"
I was a handful growing up.,Olivia Wilde,"Growing Up, Up, Growing"
"I liked being a teenager, but I would not go back for all the tea in China.",Rob Lowe,"Tea, Go, Back"
"Adolescents are not monsters. They are just people trying to learn how to make it among the adults in the world, who are probably not so sure themselves.",Virginia Satir,"World, People, Trying"
"The most important role models should and could be parents and teachers. But that said, once you're a teenager you've probably gotten as much of an example from your parents as you're going to.",Andrew Shue,"Your, Parents, Important"
A fairly bright boy is far more intelligent and far better company than the average adult.,John B. S. Haldane,"Better, Company, Boy"
My own experience being bullied - it made me a more compassionate person. It made me more sympathetic to the adolescent experience.,Carolyn Mackler,"Experience, Me, Own"
"I'm a teenager, but I'm independent - I have my own apartment, I have my own life. And I think I have learned more than any of those teenagers have in school. I learned to be responsible, leaving my family and coming here alone.",Adriana Lima,"Life, Alone, Family"
"When I look in the mirror I see the girl I was when I was growing up, with braces, crooked teeth, a baby face and a skinny body.",Heather Locklear,"Mirror, Face, Body"
We all have an interest in making sure teens grow up healthy and drug-free.,John Walters,"Grow, Interest, Healthy"
My kids idea of a hard life is to live in a house with only one phone.,George Foreman,"Life, Phone, Live"
There is a point in every young person's life when you realize that the youth that you've progressed through and graduate to some sort of adulthood is equally as messed up as where you're going.,Jena Malone,"Life, Youth, Person"
You've got to grow up sometime.,Winona Ryder,"Grow, Up, Got"
Everybody is a teenage idol.,Barry Gibb,"Idol, Everybody, Teenage"
I think you go through a period as a teenager of being quite cool and unaffected by things.,Miranda Otto,"Cool, Go, Things"
"I spent the first fourteen years of my life convinced that my looks were hideous. Adolescence is painful for everyone, I know, but mine was plain weird.",Uma Thurman,"Life, Adolescence, My Life"
Heredity is what sets the parents of a teenager wondering about each other.,Laurence J. Peter,"Parents, Wondering, About"
"Growing up, I wanted desperately to please, to be a good girl.",Claire Danes,"Good, Girl, Growing Up"
Can you imagine young people nowadays making a study of trigonometry for the fun of it? Well I did.,Clyde Tombaugh,"People, Fun, Young"
Maturity is only a short break in adolescence.,Jules Feiffer,"Maturity, Adolescence, Short"
I have this sense that I didn't really start growing up until my twenties.,Winona Ryder,"Start, Growing Up, Until"
"The area of teenage life is not necessarily rarefied; we've all gone through that period. It's not as rarefied as a western or a space adventure or a gangster film, but it has its own dynamic.",Gus Van Sant,"Life, Space, Gangster"
"I think there's a time in your life where you don't feel like you fit in. I think everyone has that when you're a teenager, especially, and especially in the society we live in.",Matthew Vaughn,"Life, Time, Society"
Time scoots along pretty fast when you grow up.,Alan Ladd,"Time, Grow, Fast"
"To all those mothers and fathers who are struggling with teen-agers, I say, just be patient: even though it looks like you can't do anything right for a number of years, parents become popular again when kids reach 20.",Marian Wright Edelman,"Parents, Right, Anything"
"At the age of 16 I was already dreaming of having a baby because I felt myself to be an adult, but my mum forbid it. Right now, I feel like a teenager and I want to have fun for one or two more years before starting a family.",Milla Jovovich,"Family, Age, Myself"
Teenagers who are never required to vacuum are living in one.,Fred G. Gosman,"Living, Never, Who"
"I want to help middle-school girls stay interested in math and be good at it, and see it as friendly and accessible and not this scary thing. Everyone else in society tells them it's not for them. It's for nerdy white guys with pocket protectors.",Danica McKellar,"Good, Society, White"
"I mean, I'm pretty good in real life, but sometimes people seem surprised that I'm like a normal teenager and wear black nail polish and I'm just a little bit more edgy than the person I play on television.",Brittany Snow,"Life, Good, Black"
The toddler must say no in order to find out who she is. The adolescent says no to assert who she is not.,Louise J. Kaplan,"Find, She, Say"
"Children, even infants, are capable of sympathy. But only after adolescence are we capable of compassion.",Louise J. Kaplan,"Sympathy, Compassion, Adolescence"
You have teenagers thinking they're going to make millions as NBA stars when that's not realistic for even 1 percent of them. Becoming a scientist or engineer is.,Dean Kamen,"Stars, Thinking, Realistic"
"If you just watch a teenager, you see a lot of uncertainty.",Jamie Lee Curtis,"Uncertainty, See, Watch"
"Well, I could do it for a day, but I wouldn't want to be a teenager again. I really wouldn't.",Jamie Lee Curtis,"Day, Well, Want"
"Growing up, I didn't have a lot of toys, and personal entertainment depended on individual ingenuity and imagination - think up a story and go live it for an afternoon.",Terry Brooks,"Imagination, Toys, Entertainment"
Female adolescence is - universally - an emotionally and psychologically intense period.,Caitlin Flanagan,"Adolescence, Intense, Period"
"Growing up, I've enjoyed hunting with my father.",Dale Earnhardt,"Father, Growing Up, Hunting"
"But when I was a teenager, the idea of spending the rest of my life in a factory was real depressing. So the idea that I could become a musician opened up some possibilities I didn't see otherwise.",Wayne Kramer,"Life, Rest, My Life"
"When I was a teenager, I read a lot of Poe.",Dario Argento,"Lot, Read, Poe"
"If we as a nation are to break the cycle of poverty, crime and the growing underclass of young people ill equipped to be productive citizens, we need to not only implement effective programs to prevent teen pregnancy, but we must also help those who have already given birth so that they become effective, nurturing, bonding parents.",Jane Fonda,"Parents, Poverty, Crime"
"I grew up watching 'Buffy the Vampire Slayer' and used to dream that I would grow up to be just like her. In a way, 'Teen Wolf' has a lot of those kinds of characters. We're just kids by day, and yet we're trying to fight demons and werewolves and bad people and save people that we love.",Arden Cho,"Love, Day, Fight"
"We don't tend to write about disease in fiction - not just teen novels but all American novels - because it doesn't fit in with our idea of the heroic romantic epic. There is room only for sacrifice, heroism, war, politics and family struggle.",John Green,"Politics, Family, War"
"Most people, almost everyone knows of a teen mom. Teen pregnancy rates are growing, and we need to bring awareness to that.",Madisen Beaty,"Mom, Awareness, People"
Katy Perry still gets me every time. She's very funny in person! We met at the Teen Choice Awards and she pulled my cheeks apart and told me how cute I was. My life was literally flashing before my eyes!,Niall Horan,"Life, Funny, Time"
"There's a theory about fame: the moment it strikes, it arrests development. Michael Jackson remained suspended in childhood, enjoying sleepovers and funfairs; Winona Ryder, an errant teen who dabbled in shoplifting and experimented with pills; George Clooney, a 30-year-old commitment-phobe, never quite ready yet to settle down.",Jemima Khan,"Moment, Childhood, Fame"
"I watch a lot of teen TV and read a lot of YA novels. I also talk to teens whenever I can. There are cultural differences between when I was a teen and now, but emotions - anger, angst, love - are the same.",Sarah Mlynowski,"Love, Anger, Differences"
"Weird Al was something that kids would listen to. It's funny, super funny, smart. It's just kind of jokey. I remember hearing 'Smells Like Nirvana' before hearing 'Smells Like Teen Spirit.' That's how it really worked. I think it's just such a cool thing how he introduced us to so many cool bands. Even Queen - 'Another One Rides the Bus.'",John Gourley,"Funny, Cool, Smart"
"I've thought about it, but I don't think I'd ever get a 'Teen Wolf' tattoo, and I don't know why.",Tyler Posey,"Know, Why, Wolf"
