title,author,tags
"We shall not cease from exploration, and the end of all our exploring will be to arrive where we started and know the place for the first time.",T. S. Eliot,"Time, Will, Know"
"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.",Marcel Proust,"Eyes, New, Discovery"
A man travels the world over in search of what he needs and returns home to find it.,George A. Moore,"Home, Man, World"
"The world is a book, and those who do not travel read only a page.",Saint Augustine,"World, Book, Only"
"The traveler sees what he sees, the tourist sees what he has come to see.",Gilbert K. Chesterton,"See, Come, He"
Travel can be one of the most rewarding forms of introspection.,Lawrence Durrell,"Introspection, Most, Rewarding"
"Though we travel the world over to find the beautiful, we must carry it with us or we find it not.",Ralph Waldo Emerson,"Beautiful, World, Find"
"No one realizes how beautiful it is to travel until he comes home and rests his head on his old, familiar pillow.",Lin Yutang,"Home, Beautiful, Pillow"
Exploration is really the essence of the human spirit.,Frank Borman,"Human, Spirit, Exploration"
"If all difficulties were known at the outset of a long journey, most of us would never start out at all.",Dan Rather,"Journey, Long, Start"
"Rome is the city of echoes, the city of illusions, and the city of yearning.",Giotto di Bondone,"City, Rome, Illusions"
"I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move.",Robert Louis Stevenson,"Great, Go, Move"
"If you wish to travel far and fast, travel light. Take off all your envies, jealousies, unforgiveness, selfishness and fears.",Cesare Pavese,"Light, Your, Wish"
"Like all great travellers, I have seen more than I remember, and remember more than I have seen.",Benjamin Disraeli,"Great, Remember, More"
All journeys have secret destinations of which the traveler is unaware.,Martin Buber,"Secret, Which, Unaware"
To travel is to discover that everyone is wrong about other countries.,Aldous Huxley,"Everyone, Wrong, Discover"
To travel is to take a journey into yourself.,Danny Kaye,"Journey, Yourself, Take"
You get educated by traveling.,Solange Knowles,"Educated, Get, Traveling"
"Certainly, travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living.",Mary Ritter Beard,"Change, Living, Ideas"
"Tourists don't know where they've been, travelers don't know where they're going.",Paul Theroux,"Know, Where, Going"
"Travel, in the younger sort, is a part of education; in the elder, a part of experience.",Francis Bacon,"Education, Experience, Younger"
"If one had but a single glance to give the world, one should gaze on Istanbul.",Alphonse de Lamartine,"World, Gaze, Glance"
"We travel, some of us forever, to seek other states, other lives, other souls.",Anais Nin,"Forever, Us, Seek"
Airplane travel is nature's way of making you look like your passport photo.,Al Gore,"Nature, Your, Look"
Never go on trips with anyone you do not love.,Ernest Hemingway,"Love, Never, Go"
"Wherever you go, go with all your heart.",Confucius,"Heart, Your, Go"
"The use of travelling is to regulate imagination by reality, and instead of thinking how things may be, to see them as they are.",Samuel Johnson,"Imagination, Reality, Thinking"
"A good traveler has no fixed plans, and is not intent on arriving.",Lao Tzu,"Good, Arriving, Plans"
"I am not a great cook, I am not a great artist, but I love art, and I love food, so I am the perfect traveller.",Michael Palin,"Love, Art, Food"
"One travels to run away from routine, that dreadful routine that kills all imagination and all our capacity for enthusiasm.",Ella Maillart,"Imagination, Enthusiasm, Routine"
"I've always enjoyed traveling and having experience with different cultures and different people. But it's also a wonderful thing to be able to benefit and enable research, not only in our country but around the world.",Laurel Clark,"Experience, Always, World"
"Every day is a journey, and the journey itself is home.",Matsuo Basho,"Home, Journey, Day"
Traveling is the ruin of all happiness! There's no looking at a building after seeing Italy.,Frances Burney,"Happiness, Looking, Building"
"Own only what you can always carry with you: know languages, know countries, know people. Let your memory be your travel bag.",Aleksandr Solzhenitsyn,"Always, Your, Bag"
"A journey is a person in itself; no two are alike. And all plans, safeguards, policing, and coercion are fruitless. We find that after years of struggle that we do not take a trip; a trip takes us.",John Steinbeck,"Journey, Struggle, Find"
"We are all travelers in the wilderness of this world, and the best we can find in our travels is an honest friend.",Robert Louis Stevenson,"Best, World, Find"
Every perfect traveler always creates the country where he travels.,Nikos Kazantzakis,"Always, Country, Perfect"
The everyday kindness of the back roads more than makes up for the acts of greed in the headlines.,Charles Kuralt,"Kindness, Greed, Roads"
"In Italy, they add work and life on to food and wine.",Robin Leach,"Life, Work, Food"
"When you travel, remember that a foreign country is not designed to make you comfortable. It is designed to make its own people comfortable.",Clifton Fadiman,"Remember, Country, Own"
"Perhaps travel cannot prevent bigotry, but by demonstrating that all peoples cry, laugh, eat, worry, and die, it can introduce the idea that if we try and understand each other, we may even become friends.",Maya Angelou,"Die, Laugh, Try"
I never travel without my diary. One should always have something sensational to read in the train.,Oscar Wilde,"Always, Diary, Never"
He travels the fastest who travels alone.,Rudyard Kipling,"Alone, Who, He"
"Airplanes may kill you, but they ain't likely to hurt you.",Satchel Paige,"Hurt, May, Likely"
Travel becomes a strategy for accumulating photographs.,Susan Sontag,"Strategy, Becomes, Photographs"
"To the lover of wilderness, Alaska is one of the most wonderful countries in the world.",John Muir,"World, Wonderful, Wilderness"
"In both business and personal life, I've always found that travel inspires me more than anything else I do. Evidence of the languages, cultures, scenery, food, and design sensibilities that I discover all over the world can be found in every piece of my jewelry.",Ivanka Trump,"Life, Design, Business"
Travelers never think that they are the foreigners.,Mason Cooley,"Never, Think, Foreigners"
Reminds me of my safari in Africa. Somebody forgot the corkscrew and for several days we had to live on nothing but food and water.,W. C. Fields,"Food, Water, Me"
How often I found where I should be going only by setting out for somewhere else.,R. Buckminster Fuller,"Somewhere, Only, Where"
"Our deeds still travel with us from afar, and what we have been makes us what we are.",George Eliot,"Us, Deeds, Still"
"Traveling, you realize that differences are lost: each city takes to resembling all cities, places exchange their form, order, distances, a shapeless dust cloud invades the continents.",Italo Calvino,"City, Differences, Lost"
I think a major element of jetlag is psychological. Nobody ever tells me what time it is at home.,David Attenborough,"Time, Home, Me"
"In America there are two classes of travel - first class, and with children.",Robert Benchley,"America, Children, First"
"Rome - the city of visible history, where the past of a whole hemisphere seems moving in funeral procession with strange ancestral images and trophies gathered from afar.",George Eliot,"History, Past, City"
"I have wandered all my life, and I have also traveled; the difference between the two being this, that we wander for distraction, but we travel for fulfillment.",Hilaire Belloc,"Life, My Life, Wander"
It is better to travel well than to arrive.,Buddha,"Better, Well, Than"
The desire to fly is an idea handed down to us by our ancestors who... looked enviously on the birds soaring freely through space... on the infinite highway of the air.,Wilbur Wright,"Space, Fly, Ancestors"
"When I go on Japanese Airlines, I really love it because I like Japanese food.",Phil Collins,"Love, Food, Go"
Many a trip continues long after movement in time and space have ceased.,John Steinbeck,"Time, Space, Long"
Venice is like eating an entire box of chocolate liqueurs in one go.,Truman Capote,"Eating, Go, Chocolate"
"Travel is the frivolous part of serious lives, and the serious part of frivolous ones.",Sophie Swetchine,"Serious, Frivolous, Part"
I have just returned from Boston. It is the only thing to do if you find yourself up there.,Fred Allen,"Yourself, Find, Only"
