title,author,tags
Never be afraid to trust an unknown future to a known God.,Corrie Ten Boom,"Future, God, Never"
To be trusted is a greater compliment than being loved.,George MacDonald,"Compliment, Loved, Being"
"You may be deceived if you trust too much, but you will live in torment if you don't trust enough.",Frank Crane,"Will, Enough, Live"
A lie can travel half way around the world while the truth is putting on its shoes.,Charles Spurgeon,"Truth, Travel, World"
"Trust yourself, you know more than you think you do.",Benjamin Spock,"Yourself, Know, Think"
"For every good reason there is to lie, there is a better reason to tell the truth.",Bo Bennett,"Truth, Good, Better"
"I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the seashore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.",Isaac Newton,"Truth, Great, Myself"
Trust is built with consistency.,Lincoln Chafee,"Consistency, Built"
The most important lesson that I have learned is to trust God in every circumstance. Lots of times we go through different trials and following God's plan seems like it doesn't make any sense at all. God is always in control and he will never leave us.,Allyson Felix,"God, Always, Control"
"Trust in what you love, continue to do it, and it will take you where you need to go.",Natalie Goldberg,"Love, Will, What You Love"
Trust is hard to come by. That's why my circle is small and tight. I'm kind of funny about making new friends.,Eminem,"Funny, New Friends, Circle"
Learning to trust is one of life's most difficult tasks.,Isaac Watts,"Life, Learning, Difficult"
If the people cannot trust their government to do the job for which it exists - to protect them and to promote their common welfare - all else is lost.,Barack Obama,"Government, Lost, People"
"Love all, trust a few, do wrong to none.",William Shakespeare,"Love, Wrong, Few"
"Trust yourself. Create the kind of self that you will be happy to live with all your life. Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.",Golda Meir,"Life, Achievement, Your"
"As soon as you trust yourself, you will know how to live.",Johann Wolfgang von Goethe,"Yourself, Will, Know"
"My trust in a higher power that wants me to survive and have love in my life, is what keeps me moving forward.",Kenny Loggins,"Life, Love, Power"
The trust of the innocent is the liar's most useful tool.,Stephen King,"Liar, Innocent, Useful"
Better to trust the man who is frequently in error than the one who is never in doubt.,Eric Sevareid,"Man, Better, Doubt"
"Trust your own instinct. Your mistakes might as well be your own, instead of someone else's.",Billy Wilder,"Your, Mistakes, Own"
"Trust no friend without faults, and love a woman, but no angel.",Doris Lessing,"Love, Angel, Woman"
A man who trusts nobody is apt to be the kind of man nobody trusts.,Harold MacMillan,"Man, Nobody, Who"
"The more you trust your intuition, the more empowered you become, the stronger you become, and the happier you become.",Gisele Bundchen,"Your, Stronger, More"
"Although the life of a person is in a land full of thorns and weeds, there is always a space in which the good seed can grow. You have to trust God.",Pope Francis,"Life, God, Good"
Trust is the glue of life. It's the most essential ingredient in effective communication. It's the foundational principle that holds all relationships.,Stephen Covey,"Life, Communication, Principle"
"It is better to suffer wrong than to do it, and happier to be sometimes cheated than not to trust.",Samuel Johnson,"Better, Sometimes, Wrong"
Not everyone can be trusted. I think we all have to be very selective about the people we trust.,Shelley Long,"People, Everyone, Think"
Trust is the first step to love.,Munshi Premchand,"Love, Step, First Step"
I would rather trust a woman's instinct than a man's reason.,Stanley Baldwin,"Man, Woman, Reason"
"Never trust a man, who when left alone with a tea cosey... Doesn't try it on.",Billy Connolly,"Alone, Man, Tea"
Trust dies but mistrust blossoms.,Sophocles,"Mistrust, Blossoms, Dies"
"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.",Hillary Clinton,"Business, Space, Finance"
The only way to make a man trustworthy is to trust him.,Henry L. Stimson,"Man, Way, Make"
"Beware of anyone who says they know. Trust me, they don't, or they wouldn't have to say they did.",Harvey Fierstein,"Me, Know, Say"
All I have seen teaches me to trust the creator for all I have not seen.,Ralph Waldo Emerson,"Me, Creator, Seen"
I'm a dirt person. I trust the dirt. I don't trust diamonds and gold.,Eartha Kitt,"Gold, Diamonds, Person"
I cannot trust a man to control others who cannot control himself.,Robert E. Lee,"Man, Control, Others"
Trust in yourself. Your perceptions are often far more accurate than you are willing to believe.,Claudia Black,"Your, Believe, Yourself"
"Trust, but verify.",Ronald Reagan,Verify
"How can people trust the harvest, unless they see it sown?",Mary Renault,"Harvest, People, See"
"Trust is to human relationships what faith is to gospel living. It is the beginning place, the foundation upon which more can be built. Where trust is, love can flourish.",Barbara Smith,"Love, Faith, Foundation"
Trusting our intuition often saves us from disaster.,Anne Wilson Schaef,"Disaster, Us, Intuition"
I believe fundamental honesty is the keystone of business.,Harvey S. Firestone,"Business, Believe, Honesty"
Whoever is careless with the truth in small matters cannot be trusted with important matters.,Albert Einstein,"Truth, Important, Careless"
Never trust sheep.,Ryan Stiles,"Sheep, Never"
Someone who thinks the world is always cheating him is right. He is missing that wonderful feeling of trust in someone or something.,Eric Hoffer,"Always, World, Cheating"
Whoever has trusted a woman has trusted deceivers.,Hesiod,"Woman, Whoever, Trusted"
"And I'm afraid, in this day and age, trust, which I count so, you know, I love loyalty. I love trust.",Elton John,"Love, Age, Day"
