title,author,tags
The two most powerful warriors are patience and time.,Leo Tolstoy,"Patience, Time, Two"
Older men declare war. But it is the youth that must fight and die.,Herbert Hoover,"Men, Youth, Fight"
"The more you sweat in peace, the less you bleed in war.",Norman Schwarzkopf,"Peace, Sweat, More"
"In peace, sons bury their fathers. In war, fathers bury their sons.",Herodotus,"Peace, Bury, Sons"
"There is no hunting like the hunting of man, and those who have hunted armed men long enough and liked it, never care for anything else thereafter.",Ernest Hemingway,"Men, Man, Long"
You can no more win a war than you can win an earthquake.,Jeannette Rankin,"Win, Earthquake, More"
"It is well that war is so terrible, otherwise we should grow too fond of it.",Robert E. Lee,"Grow, Well, Terrible"
"All wars are civil wars, because all men are brothers.",Francois Fenelon,"Men, Because, Brothers"
"I am tired and sick of war. Its glory is all moonshine. It is only those who have neither fired a shot nor heard the shrieks and groans of the wounded who cry aloud for blood, for vengeance, for desolation. War is hell.",William Tecumseh Sherman,"Tired, I Am, Hell"
Only the dead have seen the end of the war.,George Santayana,"Dead, End, Only"
War does not determine who is right - only who is left.,Bertrand Russell,"Right, Only, Who"
The military don't start wars. Politicians start wars.,William Westmoreland,"Start, Politicians, Military"
"When the rich wage war, it's the poor who die.",Jean-Paul Sartre,"Die, Rich, Poor"
The supreme art of war is to subdue the enemy without fighting.,Sun Tzu,"Art, Fighting, Enemy"
The object of war is not to die for your country but to make the other bastard die for his.,George S. Patton,"Your, Die, Country"
"I hate war as only a soldier who has lived it can, only as one who has seen its brutality, its futility, its stupidity.",Dwight D. Eisenhower,"Stupidity, Hate, Soldier"
"If we don't end war, war will end us.",H. G. Wells,"Will, End, Us"
"Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.",Sun Tzu,"Win, First, Go"
War is only a cowardly escape from the problems of peace.,Thomas Mann,"Peace, Problems, Escape"
The great questions of the day will not be settled by means of speeches and majority decisions but by iron and blood.,Otto von Bismarck,"Great, Day, Will"
"The direct use of force is such a poor solution to any problem, it is generally employed only by small children and large nations.",David Friedman,"Poor, Solution, Children"
"We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.",Winston Churchill,"Fight, Never, May"
War: a massacre of people who don't know each other for the profit of people who know each other but don't massacre each other.,Paul Valery,"Know, People, Profit"
"Never think that war, no matter how necessary, nor how justified, is not a crime.",Ernest Hemingway,"Crime, Matter, Never"
To be prepared for war is one of the most effective means of preserving peace.,George Washington,"Peace, Be Prepared, Most"
"I will not play tug o' war. I'd rather play hug o' war. Where everyone hugs instead of tugs, Where everyone giggles and rolls on the rug, Where everyone kisses, and everyone grins, and everyone cuddles, and everyone wins.",Shel Silverstein,"Will, Everyone, Hug"
There is no avoiding war; it can only be postponed to the advantage of others.,Niccolo Machiavelli,"Others, Only, Avoiding"
"Know thy self, know thy enemy. A thousand battles, a thousand victories.",Sun Tzu,"Battles, Know, Enemy"
"If it were a fact, it wouldn't be called intelligence.",Donald Rumsfeld,"Intelligence, Fact, Were"
"You must not fight too often with one enemy, or you will teach him all your art of war.",Napoleon Bonaparte,"Art, Your, Fight"
"If it's natural to kill, how come men have to go into training to learn how?",Joan Baez,"Men, Training, Go"
The first casualty when war comes is truth.,Hiram Johnson,"Truth, First, Casualty"
"In wartime, truth is so precious that she should always be attended by a bodyguard of lies.",Winston Churchill,"Truth, Always, Precious"
"War is cruelty. There is no use trying to reform it. The crueler it is, the sooner it will be over.",William Tecumseh Sherman,"Will, Trying, Cruelty"
In modern war... you will die like a dog for no good reason.,Ernest Hemingway,"Good, Die, Will"
It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.,Voltaire,"Numbers, Sound, Forbidden"
I'm fed up to the ears with old men dreaming up wars for young men to die in.,George McGovern,"Men, Die, Young"
"There was never a good war, or a bad peace.",Benjamin Franklin,"Good, Peace, Bad"
