title,author,tags
The reward for work well done is the opportunity to do more.,Jonas Salk,"Done, Opportunity, Reward"
Opportunity is missed by most people because it is dressed in overalls and looks like work.,Thomas A. Edison,"Opportunity, People, Looks"
"When your work speaks for itself, don't interrupt.",Henry J. Kaiser,"Your, Interrupt, Itself"
All things are difficult before they are easy.,Thomas Fuller,"Difficult, Easy, Things"
"Be regular and orderly in your life, so that you may be violent and original in your work.",Gustave Flaubert,"Life, Your, May"
"Hard work spotlights the character of people: some turn up their sleeves, some turn up their noses, and some don't turn up at all.",Sam Ewing,"Hard Work, Character, People"
"Let us realize that: the privilege to work is a gift, the power to work is a blessing, the love of work is success!",David O. McKay,"Love, Success, Power"
The only thing that overcomes hard luck is hard work.,Harry Golden,"Hard Work, Luck, Hard"
"The harder I work, the luckier I get.",Samuel Goldwyn,"Harder, Get, Luckier"
Working hard and working smart sometimes can be two different things.,Byron Dorgan,"Smart, Sometimes, Hard"
"The power of one, if fearless and focused, is formidable, but the power of many working together is better.",Gloria Macapagal Arroyo,"Power, Together, Better"
Nobody ever drowned in his own sweat.,Ann Landers,"Sweat, Own, Nobody"
Unemployment is capitalism's way of getting you to plant a garden.,Orson Scott Card,"Plant, Capitalism, Way"
The beginning is the most important part of the work.,Plato,"Beginning, Important, Most"
Let the beauty of what you love be what you do.,Rumi,"Love, Beauty, What You Love"
"When a man tells you that he got rich through hard work, ask him: 'Whose?'",Don Marquis,"Hard Work, Man, Rich"
Nothing will work unless you do.,Maya Angelou,"Nothing, Will, Unless"
Honor lies in honest toil.,Grover Cleveland,"Honor, Lies, Toil"
"It's like Forrest Gump said, 'Life is like a box of chocolates.' Your career is like a box of chocolates - you never know what you're going to get. But everything you get is going to teach you something along the way and make you the person you are today. That's the exciting part - it's an adventure in itself.",Nick Carter,"Life, Today, Your"
"Nothing ever comes to one, that is worth having, except as a result of hard work.",Booker T. Washington,"Hard Work, Result, Nothing"
"I put my heart and my soul into my work, and have lost my mind in the process.",Vincent Van Gogh,"Heart, Soul, Mind"
"Work, look for peace and calm in work: you will find it nowhere else.",Dmitri Mendeleev,"Peace, Calm, Look"
"Opportunities are usually disguised as hard work, so most people don't recognize them.",Ann Landers,"Hard Work, People, Hard"
Work gives you meaning and purpose and life is empty without it.,Stephen Hawking,"Life, Purpose, Meaning"
Good things happen to those who hustle.,Chuck Noll,"Good, Good Things, Things Happen"
Far and away the best prize that life has to offer is the chance to work hard at work worth doing.,Theodore Roosevelt,"Life, Best, Chance"
Without labor nothing prospers.,Sophocles,"Nothing, Labor, Without"
The only way to enjoy anything in this life is to earn it first.,Ginger Rogers,"Life, Way, First"
He who seeks rest finds boredom. He who seeks work finds rest.,Dylan Thomas,"Rest, Boredom, Who"
To find joy in work is to discover the fountain of youth.,Pearl S. Buck,"Youth, Joy, Find"
The only place success comes before work is in the dictionary.,Vince Lombardi,"Success, Place, Only"
There is no substitute for hard work.,Thomas A. Edison,"Hard Work, Hard, Substitute"
I believe in stopping work and eating lunch.,L'Wren Scott,"Believe, Lunch, Eating"
